PMID	PMCID	TITLE	DOI
32112966	PMC7110436	2019-novel Coronavirus severe adult respiratory distress syndrome in two cases in Italy: An uncommon radiological presentation.	
32275264		2019-novel coronavirus survey: knowledge and attitudes of hospital staff of a large Italian teaching hospital.	
32246789		2020: The Year of the Nurse as Seen Through a Coronavirus Lens.	
32247821	PMC7128271	3CL(pro) inhibitors as a potential therapeutic option for COVID-19: Available evidence and ongoing clinical trials.	
32228362		3D CT of Novel Coronavirus (COVID-19) Pneumonia.	
32233030		3D printed circuit splitter and flow restriction devices for multiple patient lung ventilation using one anaesthesia workstation or ventilator.	
32231172		63-year-old male treated for COVID-19.	
32223012		68 Consecutive patients assessed for COVID-19 infection; experience from a UK regional infectious disease unit.	
32179908		A 55-Day-Old Female Infant infected with COVID 19: presenting with pneumonia, liver injury, and heart damage.	
32282442		A Bioethical Perspective for Navigating Moral Dilemmas Amidst the COVID-19 Pandemic.	
32267488		A Bold Response to the COVID-19 Pandemic: Medical Students, National Service, and Public Health.	
32301298		A Brief Telephone Severity Scoring System and Therapeutic Living Centers Solved Acute Hospital-Bed Shortage during the COVID-19 Outbreak in Daegu, Korea.	
32265036	PMC7128118	A British Society of Thoracic Imaging statement: considerations in designing local imaging diagnostic algorithms for the COVID-19 pandemic.	
32269938	PMC7136733	A call for caution in extrapolating chest CT sensitivity for COVID-19 derived from hospital data to patients among general population.	
32247318		A Call for Randomized Controlled Trials to Test the Efficacy of Chloroquine and Hydroxychloroquine as Therapeutics against Novel Coronavirus Disease (COVID-19).	
32283063	PMC7151356	A call to action : the need for autopsies to determine the full extent of organ involvement associated with COVID-19 infections.	
32281160		A call to action for public health nurses during the COVID-19 pandemic.	
32285321		A Call to Action: Novel Ways that Hepatologists Can Contribute to Patient Care During the COVID-19 Pandemic.	
32282387		A carton-made protective shield for suspicious/confirmed COVID-19 intubation and extubation during surgery.	
32257150	PMC7125421	A cascade of causes that led to the COVID-19 tragedy in Italy and in other European Union countries.	
32119083	PMC7108126	A case of 2019 Novel Coronavirus in a pregnant woman with preterm delivery.	
32149771		A case of 2019 novel coronavirus infected pneumonia with twice negative 2019-nCoV nucleic acid testing within 8 days.	
32299477	PMC7160612	A case of a readmitted patient who recovered from COVID-19 in Chengdu, China.	
32198005		A case of COVID-19 and pneumonia returning from Macau in Taiwan: Clinical course and anti-SARS-CoV-2 IgG dynamic.	
32282312		A Case of COVID-19 Pneumonia in a Young Male with Full Body Rash as a Presenting Symptom.	
32302422		A case of COVID-19 presenting in clinical picture resembling chilblains disease. First report from the Middle East.	
32259878		A case of exacerbation of psoriasis after oseltamivir and hydroxychloroquine in a patient with COVID-19: Will cases of psoriasis increase after COVID-19 pandemic?	
32238024		A case of imported COVID-19 diagnosed by PCR-positive lower respiratory specimen but with PCR-negative throat swabs.	
32222713		A Case of Novel Coronavirus Disease 19 in a Chronic Hemodialysis Patient Presenting with Gastroenteritis and Developing Severe Pulmonary Disease.	
32266524		A case report of COVID-19 with false negative RT-PCR test: necessity of chest CT.	
32161941	PMC7108144	A case report of neonatal COVID-19 infection in China.	
32112072	PMC7108143	A Case Series of children with 2019 novel coronavirus infection: clinical and epidemiological features.	
32278890	PMC7146677	A chaotic and stressed environment for 2019-nCoV suspected, infected and other people in India: Fear of mass destruction and causality.	
32114755		A Chinese Case of COVID-19 Did Not Show Infectivity During the Incubation Period: Based on an Epidemiological Survey.	
32222158		A citizen's thoughts about COVID-19.	
32271458		A classifier prediction model to predict the status of Coronavirus COVID-19 patients in South Korea.	
32294796		A Clinical Study of Noninvasive Assessment of Lung Lesions in Patients with Coronavirus Disease-19 (COVID-19) by Bedside Ultrasound.	
32283138	PMC7151530	A cluster of pneumonia associated with the SARS-Cov-2 outside of Wuhan related to a house-warming banquet.	
32169574		A commentary on "World Health Organization declares global emergency: A review of the 2019 novel Coronavirus (COVID-19)".	
32282964		A Commentary on Rural-Urban Disparities in COVID-19 Testing Rates per 100,000 and Risk Factors.	
32286916		A Commentary on Safety Precautions for Otologic Surgery during the COVID-19 Pandemic.	
32298016		A Commentary on the Management of Total Laryngectomy Patients During the COVID-19 Pandemic.	
32255648		A Community Letter Regarding Sharing Bimolecular Simulation Data for COVID-19.	
32235187		A Comparative Study of Chest Computed Tomography Features in Young and Older Adults With Corona Virus Disease (COVID-19).	
32161968	PMC7108162	A comparative study on the clinical features of COVID-19 pneumonia to other pneumonias.	
32249943		A comparative-descriptive analysis of clinical characteristics in 2019-Coronavirus-infected children and adults.	
32283221	PMC7151285	A comparison of burnout frequency among oncology physicians and nurses working on the front lines and usual wards during the COVID-19 epidemic in Wuhan, China.	
32294518	PMC7152894	A COMPREHENSIVE ANALYSIS OF GENOME COMPOSITION AND CODON USAGE PATTERNS OF EMERGING CORONAVIRUSES.	
32289038	PMC7136699	A comprehensive Chinese experience against SARS-CoV-2 in ophthalmology.	
32269893	PMC7138423	A Comprehensive Literature Review on the Clinical Presentation, and Management of the Pandemic Coronavirus Disease 2019 (COVID-19).	
32145465	PMC7102659	A conceptual model for the coronavirus disease 2019 (COVID-19) outbreak in Wuhan, China with individual reaction and governmental action.	
32149768		A confirmed asymptomatic carrier of 2019 novel coronavirus (SARS-CoV-2).	
32242182		A consensus statement on the use of angiotensin receptor blockers and angiotensin converting enzyme inhibitors in relation to COVID-19 (corona virus disease 2019).	
32043976		A contingency plan for the management of the 2019 novel coronavirus outbreak in neonatal intensive care units.	
32302399		A COVID-19 Patient Who Underwent Endonasal Endoscopic Pituitary Adenoma Resection: A Case Report.	
32201889		A COVID-19 Transmission within a family cluster by presymptomatic infectors in China.	
32278758		A cross-sectional comparison of epidemiological and clinical features of patients with coronavirus disease (COVID-19) in Wuhan and outside Wuhan, China.	
32205073		A cured patient with 2019-nCoV pneumonia.	
32274842		A cut above COVID-19- surgical perspectives from a public health institution in Singapore during a coronavirus epidemic.	
32288968	PMC7128746	A data driven time-dependent transmission rate for tracking an epidemic: a case study of 2019-nCoV.	
32283229	PMC7146700	A Dermatologic Manifestation of COVID-19: Transient Livedo Reticularis.	
32168162		A Diabetic Patient With 2019-nCoV (COVID-19) Infection Who Recovered and Was Discharged From Hospital.	
32300971		A diagnostic model for coronavirus disease 2019 (COVID-19) based on radiological semantic and clinical features: a multi-center study.	
32241178		A dialogue between the editor-in-chief and a deputy editor of a cardiology journal during the coronavirus outbreak: Take-home messages from the Italian experience.	
32087125		A distinct name is needed for the new coronavirus.	
32294259		A distinctive skin rash associated with Coronavirus Disease 2019 ?	
32190908		A doubt of multiple introduction of SARS-CoV-2 in Italy: A preliminary overview.	
32303492		A European roadmap out of the covid-19 pandemic.	
32067043	PMC7107453	A familial cluster of infection associated with the 2019 novel coronavirus indicating potential person-to-person transmission during the incubation period.	
31986261		A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster.	
32243690		A familial cluster, including a kidney transplant recipient, of Coronavirus Disease 2019 (COVID-19) in Wuhan, China.	
32119823		A family cluster of SARS-CoV-2 infection involving 11 patients in Nanjing, China.	
32270413		A family cluster of severe acute respiratory syndrome coronavirus 2 infections.	
32245909		A fatal case of COVID-19 pneumonia occurring in a patient with severe acute ulcerative colitis.	
32283308		A field indoor air measurement of SARS-CoV-2 in the patient rooms of the largest hospital in Iran.	
32251791		A first Case of Meningitis/Encephalitis associated with SARS-Coronavirus-2.	
32273611		A framework for identifying regional outbreak and spread of COVID-19 from one-minute population-wide surveys.	
32285555		A framework for open tracheostomy in COVID-19 patients.	
32298036		A Framework for Prioritizing Head and Neck Surgery during the COVID-19 Pandemic.	
32219367		A Framework for Rationing Ventilators and Critical Care Beds During the COVID-19 Pandemic.	
32174284		A Generic Computer-Assisted Four-Pronged Approach for the Management of Emerging Global Pathogens: Some Comments on COVID-19.	
32220310		A Genomic Perspective on the Origin and Emergence of SARS-CoV-2.	
32300796		A geroscience perspective on COVID-19 mortality.	
32129842	PMC7108145	A glimpse into the origins of genetic diversity in SARS-CoV-2.	
32250235		A global needs assessment in times of a global crisis: world psychiatry response to the COVID-19 pandemic.	
32270485		A global recommendation for restrictive provision of fertility treatments during the COVID-19 pandemic.	
32302216		A Guide to Facial Trauma Triage and Precautions in the COVID-19 Pandemic.	
32181901		A guideline for homology modeling of the proteins from newly discovered betacoronavirus, 2019 novel coronavirus (2019-nCoV).	
32289302	PMC7151402	A HIGH-VOLUME THORACIC SURGERY DIVISION INTO THE STORM OF THE COVID-19 PANDEMIC.	
32245784		A highly conserved cryptic epitope in the receptor-binding domains of SARS-CoV-2 and SARS-CoV.	
32290905		A hundred days into the coronavirus disease (COVID-19) pandemic.	
32242350		A Lesson from Temporary Closing of a Single University-affiliated Hospital owing to In-Hospital Transmission of Coronavirus Disease 2019.	
32302744		A Letter to the Editor on "World Health Organization declares Global Emergency: A review of the 2019 Novel Coronavirus (COVID-19)" (Int J Surg 2020;76:71-6).	
32292826	PMC7141164	A living systematic review protocol for COVID-19 clinical trial registrations.	
32050059		A Locally Transmitted Case of SARS-CoV-2 Infection in Taiwan.	
32287814	PMC7130980	A long overdue ban.	
32298802	PMC7153528	A Longitudinal Study on the Mental Health of General Population during the COVID-19 Epidemic in China.	
32301809		A Low Cost, Safe and Effective Method for Smoke Evacuation in Laparoscopic Surgery for Suspected Coronavirus Patients.	
32277747		A Low-cost Solution for Retro-fitment of HEPA Filter in Healthcare Facilities Providing Care to COVID-19 Patients.	
32303698		A map of SARS-CoV-2 and host cell interactions.	
32111262	PMC7047374	A mathematical model for simulating the phase-based transmissibility of a novel coronavirus.	
32233562		A mathematical model for the novel coronavirus epidemic in Wuhan, China.	
32212981		A Message to Our Community in the Midst of the COVID-19 Pandemic.	
32277023		A method to prevent SARS-CoV-2 IgM false positives in gold immunochromatography and enzyme-linked immunosorbent assays.	
32211911		A midpoint perspective on the COVID-19 pandemic.	
32247030		A military perspective on the vascular surgeon's response to the COVID-19 pandemic.	
32271597		A Model for COVID-19 Prediction in Iran Based on China Parameters.	
32301804		A Multidisciplinary Team Approach for Triage of Elective Cancer Surgery at the Massachusetts General Hospital During the Novel Coronavirus COVID-19 Outbreak.	
32215365	PMC7061893	A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.	
32304531		A Need for Data-driven Public Health Responses to COVID-19.	
32264963	PMC7137406	A new clinical trial to test high-dose vitamin C in patients with COVID-19.	
32015508	PMC7094943	A new coronavirus associated with human respiratory disease in China.	
32289004	PMC7129553	A new pandemic out of China: the Wuhan 2019-nCoV coronavirus syndrome.	
32237199		A New Symptom of COVID-19: Loss of Taste and Smell.	
32236624		A new threat from an old enemy: Reemergence of coronavirus (Review).	
32166310	PMC7108172	A Novel Approach for a Novel Pathogen: using a home assessment team to evaluate patients for 2019 novel coronavirus (SARS-CoV-2).	
32093461	PMC7047000	A Novel Approach of Consultation on 2019 Novel Coronavirus (COVID-19)-Related Psychological and Mental Problems: Structured Letter Therapy.	
32304576		A novel clinical set up for examining healthy dermatology outpatients in time of Covid-19.	
32024976		A novel coronavirus (2019-nCoV) causing pneumonia-associated respiratory syndrome.	
32087216		A Novel Coronavirus (COVID-19) Outbreak: A Call for Action.	
32063263		A Novel Coronavirus Emerges.	
31978293		A Novel Coronavirus Emerging in China - Key Questions for Impact Assessment.	
31978945	PMC7092803	A Novel Coronavirus from Patients with Pneumonia in China, 2019.	
32185368	PMC7075272	A Novel Coronavirus Outbreak from Wuhan City in China, Rapid Need for Emergency Departments Preparedness and Response; a Letter to Editor.	
31986257		A novel coronavirus outbreak of global health concern.	
32289085	PMC7143583	A novel presentation of COVID-19 via community acquired infection.	
32241301	PMC7117947	A novel treatment approach to the novel coronavirus: an argument for the use of therapeutic plasma exchange for fulminant COVID-19.	
32287802	PMC7130820	A pandemic in all but name.	
32245833		A pandemic in times of global tourism: superspreading and exportation of COVID-19 cases from a ski area in Austria.	
32294611	PMC7141484	A patient reported outcome platform, a useful tool to improve monitoring and effective management of Covid-19-positive patients with cancer.	
32207257		A Patient with COVID-19 Presenting a False-Negative Reverse Transcriptase Polymerase Chain Reaction Result.	
32198004		A patient with SARS-CoV-2 infection during pregnancy in Qingdao, China.	
32302529	PMC7144600	A Pinch of Prevention is Worth a Pound of Cure: Proactive Dentistry in the Wake of COVID-19.	
32247382		A planetary health perspective on COVID-19: a call for papers.	
32251644		A planetary health perspective on COVID-19: a call for papers.	
32015507	PMC7095418	A pneumonia outbreak associated with a new coronavirus of probable bat origin.	
32298525		A Policy to Do Better Next Time: Lessons Learned from the Covid-19 Pandemic.	
32255312		A possible probiotic (S. salivarius K12) approach to improve oral and lung microbiotas and raise defenses against SARS-CoV-2.	
32283163	PMC7151354	A potential inhibitory role for integrin in the receptor targeting of SARS-CoV-2.	
32248854	PMC7137531	A potential protective role of losartan against coronavirus-induced lung damage.	
32130973	PMC7114098	A potential role for integrins in host cell entry by SARS-CoV-2.	
32243668		A Practical Approach to the Management of Cancer Patients During the Novel Coronavirus Disease 2019 (COVID-19) Pandemic: An International Collaborative Group.	
32222420		A pregnant woman with COVID-19 in Central America.	
32301221		A preliminary observation: male pattern hair loss among hospitalized COVID-19 patients in Spain - A potential clue to the role of androgens in COVID-19 severity.	
32277732		A Primary Care Response to COVID-19 for Patients with an Opioid Use Disorder.	
32271490		A primer on viral-associated olfactory loss in the era of COVID-19.	
32292628	PMC7118608	A Promising Anti-Cytokine-Storm Targeted Therapy for COVID-19: The Artificial-Liver Blood-Purification System.	
32040190	PMC7017878	A qualitative study of zoonotic risk factors among rural communities in southern China.	
32223776		A RANDOMIZED TRIAL OF INSTRUCTOR-LED TRAINING VERSUS VIDEO LESSON IN TRAINING HEALTH CARE PROVIDERS IN PROPER DONNING AND DOFFING OF PERSONAL PROTECTIVE EQUIPMENT.	
32029004	PMC7003341	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-nCoV) infected pneumonia (standard version).	
32243919		A rapid fatal evolution of Coronavirus Disease-19 (COVID-19) in an advanced lung cancer patient with a long time response to nivolumab.	
32289791		A Rational Use of Clozapine Based on Adverse Drug Reactions, Pharmacokinetics, and Clinical Pharmacopsychology.	
32162699		A report of clinical diagnosis and treatment of nine cases of coronavirus disease 2019.	
32304746	PMC7159869	A report of three COVID-19 cases with prolonged viral RNA detection in anal swabs.	
32166607	PMC7090728	A Review of Coronavirus Disease-2019 (COVID-19).	
32301600		A review of initial data on pregnancy during the COVID-19 outbreak: implications for assisted reproductive treatments.	
32290293		A Review of SARS-CoV-2 and the Ongoing Clinical Trials.	
32282419		A Review of State Guidelines for Elective Orthopaedic Procedures During the COVID-19 Outbreak.	
32201353		A review of the 2019 Novel Coronavirus (COVID-19) based on current evidence.	
32274964		A review on the cleavage priming of the spike protein on coronavirus by angiotensin-converting enzyme-2 and furin.	
32224299		A role for CT in COVID-19? What data really tell us so far.	
32227189		A Rush to Judgment? Rapid Reporting and Dissemination of Results and Its Consequences Regarding the Use of Hydroxychloroquine for COVID-19.	
32294562	PMC7152904	A search for medications to treat COVID-19 via in silico molecular docking models of the SARS-CoV-2 spike glycoprotein and 3CL protease.	
32243893		A segregated-team model to maintain cancer care during the COVID-19 outbreak at an academic center in Singapore.	
32183941		A Sequence Homology and Bioinformatic Approach Can Predict Candidate Targets for Immune Responses to SARS-CoV-2.	
32292588	PMC7128843	A Sever case of of SARS-CoV-2 infection in Gansu.	
32249361		A Simple Decision Analysis of a Mandatory Lockdown Response to the COVID-19 Pandemic.	
32235480		A Simulation on Potential Secondary Spread of Novel Coronavirus in an Exported Country Using a Stochastic Epidemic SEIR Model.	
32278360	PMC7158943	A Spanish-translated clinical algorithm for management of suspected SARS-CoV-2 infection in pregnant women.	
32292249	PMC7125051	A strategic health initiative: context for Coronavirus.	
32224612		A Study of Basic Needs and Psychological Wellbeing of Medical Workers in the Fever Clinic of a Tertiary General Hospital in Beijing during the COVID-19 Outbreak.	
32292633	PMC7128423	A study on the psychological needs of nurses caring for patients with coronavirus disease 2019 from the perspective of the existence, relatedness, and growth theory.	
32220077		A survey of 434 clinical trials about coronavirus disease 2019 in China.	
32296594	PMC7156212	A systematic approach is needed to contain COVID-19 globally.	
32244365		A Systematic Review of COVID-19 Epidemiology Based on Current Evidence.	
32104907		A systematic review of lopinavir therapy for SARS coronavirus and MERS coronavirus-A possible reference for coronavirus disease-19 treatment option.	
32281213		A systematic review of the prophylactic role of chloroquine and hydroxychloroquine in Coronavirus Disease-19 (COVID-19).	
32173110		A systematic review on the efficacy and safety of chloroquine for the treatment of COVID-19.	
32292897	PMC7118639	A systems approach to preventing and responding to COVID-19.	
32277997		A tale of two pandemics: How will COVID-19 and global trends in physical inactivity and sedentary behavior affect one another?	
32296824		A Tool to Early Predict Severe Corona Virus Disease 2019 (COVID-19) : A Multicenter Study using the Risk Nomogram in Wuhan and Guangdong, China.	
32187464		A Trial of Lopinavir-Ritonavir in Adults Hospitalized with Severe Covid-19.	
32172672	PMC7103735	A tug-of-war between severe acute respiratory syndrome coronavirus 2 and host antiviral defence: lessons from other pathogenic viruses.	
32248565		A twin challenge to handle: COVID-19 with pregnancy.	
32222251		A UK-wide British Society of Thoracic Imaging COVID-19 imaging repository and database: design, rationale and implications for education and research.	
32198713		A Unique Protease Cleavage Site Predicted in the Spike Protein of the Novel Pneumonia Coronavirus (2019-nCoV) Potentially Related to Viral Transmissibility.	
32237302		A Viewpoint From Paris on the COVID-19 Pandemic: A Necessary Turn to Telepsychiatry.	
32219410		A War on Two Fronts: Cancer Care in the Time of COVID-19.	
32255564	PMC7137795	A warm welcome to our new editors.	
32112082		A Well Infant with Coronavirus Disease 2019 (COVID-19) with High Viral Load.	
32232784		A woman with fever and cough: coronavirus disease 2019.	
32251408		A Word from OLAW: COVID-19 guidance.	
32184489		A year without conferences? How the coronavirus pandemic could change research.	
32295764		AACR Calls on Congress to Take Immediate Action Against COVID-19 and Protect Patients with Cancer During the Pandemic.	
32273141	PMC7138186	Abdominal and testicular pain: An atypical presentation of COVID-19.	
32073213		Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia.	
32291954		Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia.	
32272002		Abortion during the Covid-19 Pandemic - Ensuring Access to an Essential Health Service.	
32249944		About the origin of the first two Sars-CoV-2 infections in Italy: inference not supported by appropriate sequence analysis.	
32297920		Absence of 2019 Novel Coronavirus in Semen and Testes of COVID-19 Patients.	
32213231		Absence of contamination of personal protective equipment (PPE) by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).	
32268457	PMC7142007	Academic Community's Efforts to Guide the Fight Against Coronavirus Disease 2019 (COVID-19) Epidemic in Korea.	
32198984		Academician Cong Bin: Autopsy of SARS-CoV-2 infection is needed to be strengthened.	
32269089	PMC7144263	ACE-2 Expression in the Small Airway Epithelia of Smokers and COPD Patients: Implications for COVID-19.	
32251718		ACE2 at the centre of COVID-19 from paucisymptomatic infections to severe pneumonia.	
32255491		ACE2 the Janus-faced protein - from cardiovascular protection to severe acute respiratory syndrome-coronavirus and COVID-19.	
32302248		ACEing COVID-19: A Role For Angiotensin Axis Inhibition in SARS-CoV-2 infection?	
32226695	PMC7096066	Acetazolamide, Nifedipine and Phosphodiesterase Inhibitors: Rationale for Their Utilization as Adjunctive Countermeasures in the Treatment of Coronavirus Disease 2019 (COVID-19).	
32240428		Achieve Research Continuity During Social Distancing by Rapidly Implementing Individual and Group Videoconferencing with Participants: Key Considerations, Best Practices, and Protocols.	
32207542		Action at a Distance: Geriatric Research during a Pandemic.	
32236504		Active and Effective Measures for the Care of Patients With Cancer During the COVID-19 Spread in China.	
32134909		Active Monitoring of Persons Exposed to Patients with Confirmed COVID-19 - United States, January-February 2020.	
32192856	PMC7118593	Active smoking is not associated with severity of coronavirus disease 2019 (COVID-19).	
32243950		Active Surveillance for Suspected COVID-19 Cases in Inpatients with Information Technology.	
32299479	PMC7161433	Acute kidney injury in SARS-CoV-2 infected patients.	
32251934	PMC7138175	Acute leukemia in the time of COVID-19.	
32267502		Acute myocarditis presenting as a reverse Tako-Tsubo syndrome in a patient with SARS-CoV-2 respiratory infection.	
32284363		Acute neurology during the COVID-19 pandemic: Supporting the front line.	
32227120		Acute pulmonary embolism and COVID-19 pneumonia: a random association?	
32303472	PMC7146647	Acute pulmonary embolism in a patient with COVID-19 pneumonia.	
32270359	PMC7141930	Acute stroke management pathway during Coronavirus-19 pandemic.	
32283230	PMC7151529	Adalimumab for Treatment of Hidradenitis Suppurativa During the COVID-19 Pandemic: Safety Considerations.	
32291449		ADAM17 inhibition may exert a protective effect on COVID-19.	
32252845		Adaptation of the National Plan for the Prevention and Fight Against Pandemic Influenza to the 2020 COVID-19 epidemic in France.	
32292693	PMC7152868	Adapting palliative radiation therapy for bone metastases during the Covid-19 pandemic: GEMO position paper.	
32304798	PMC7159852	Adapting the Educational Environment for Cardiovascular Fellows-in-Training During the COVID-19 Pandemic.	
32304265		Adapting to a global pandemic through live virtual delivery of a cancer collaborative trial group conference: the TROG 2020 experience.	
32302281		Addressing Challenges in Obtaining Emergency Medicine Away Rotations and Standardized Letters of Evaluation Due to COVID-19 Pandemic.	
32303110		Addressing mental health care for bereavements during COVID-19 pandemic.	
32242888		Addressing the COVID-19 Pandemic in Populations With Serious Mental Illness.	
32171063	PMC7103952	Adoption of COVID-19 triage strategies for low-income settings.	
32283285		Adoption of personal protective measures by ordinary citizens during the COVID-19 outbreak in Japan.	
32198066	PMC7102657	Advance of promising targets and agents against 2019-nCoV in China.	
32228780		Advanced Preparation Makes Research in Emergencies and Isolation Care Possible: The Case of Coronavirus Disease.	
32209889		Advances in the relationship between coronavirus infection and coagulation function.	
32255197		Adverse Skin Reactions Among Healthcare Workers During the Coronavirus Disease 2019 Outbreak: A Survey in Wuhan and Its Surrounding Regions.	
32086404		Advice and guidance on coronavirus.	
32222720		Advice on Standardized Diagnosis and Treatment for Spinal Diseases during the Coronavirus Disease 2019 Pandemic.	
32219857		Advice regarding COVID-19 and use of immunomodulators, in patients with severe dermatological diseases.	
32275497		Aerosol and Surface Distribution of Severe Acute Respiratory Syndrome Coronavirus 2 in Hospital Wards, Wuhan, China, 2020.	
32182409		Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1.	
32302075		Africa in the Path of Covid-19.	
32061284		Africa prepares for coronavirus.	
32242116		African nations missing from coronavirus trials.	
32287795	PMC7130703	African nations step up efforts to prevent spread of coronavirus.	
32301956		After Covid-19.	
32283100	PMC7151253	AGA Clinical Practice Update on Management of Inflammatory Bowel Disease During the COVID-19 Pandemic: Expert Commentary.	
32247018	PMC7118600	AGA Institute Rapid Recommendations for Gastrointestinal Procedures During the COVID-19 Pandemic.	
32234101		Age is just a number - and so is frailty: Strategies to inform resource allocation during the COVID-19 pandemic.	
32205458		Aggregated mobility data could help fight COVID-19.	
32296840		Aging in Times of the COVID-19 Pandemic: Avoiding Ageism and Fostering Intergenerational Solidarity.	
32189081	PMC7087612	AI-Driven Tools for Coronavirus Outbreak: Need of Active Learning and Cross-Population Train/Test Models on Multitudinal/Multimodal Data.	
32296757	PMC7156797	Air Pollution and the Novel Covid-19 Disease: a Putative Disease Risk Factor.	
32129805	PMC7057172	Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient.	
32301491		Airborne or droplet precautions for health workers treating COVID-19?	
32283160		Airborne precautions recommended in Wuhan, China for bedside fiberoptic bronchoscopy examination of patients with COVID-19.	
32294574	PMC7151430	Airborne transmission of SARS-CoV-2: The world should face the reality.	
32301966		Albert Camus' 'The COVID-19 Plague' Revisited.	
32221278		Alcohol consumption in the Covid-19 Era.	
32277874		Alcohol use and misuse during the COVID-19 pandemic: a potential public health crisis?	
32190904		Alert for non-respiratory symptoms of Coronavirus Disease 2019 (COVID-19) patients in epidemic period: A case report of familial cluster with three asymptomatic COVID-19 patients.	
32252855		Alert for SARS-CoV-2 infection caused by fecal aerosols in rural areas in China.	
32292590	PMC7152908	All about COVID-19 in brief.	
32174565		All eyes on Coronavirus-What do we need to know as ophthalmologists.	
