#PMID	PMCID	TITLE	LANGUAGE
32093461	PMC7047000	A Novel Approach of Consultation on 2019 Novel Coronavirus (COVID-19)-Related Psychological and Mental Problems: Structured Letter Therapy.	ch
32093458	PMC7047003	Mental Health Care Measures in Response to the 2019 Novel Coronavirus Outbreak in Korea.	ch
32132744	PMC7047033	Data sharing for novel coronavirus (COVID-19).	it
32106852	PMC7047369	Q&A: The novel coronavirus outbreak causing COVID-19.	ch
32111262	PMC7047374	A mathematical model for simulating the phase-based transmissibility of a novel coronavirus.	ch
32105304	PMC7047852	Positive RT-PCR Test Results in Patients Recovered From COVID-19.	is
32065055	PMC7048180	Potent binding of 2019 novel coronavirus spike protein by a SARS coronavirus-specific human monoclonal antibody.	es
32065057	PMC7048229	Molecular and serological investigation of 2019-nCoV infected patients: implication of multiple shedding routes.	ch
32175437	PMC7048972	The role of CT for Covid-19 patient's management remains poorly defined.	de
32175421	PMC7049028	Early estimation of the case fatality rate of COVID-19 in mainland China: a data-driven analysis.	ch
32140538	PMC7049657	The novel Coronavirus (SARS-CoV-2) is a one health issue.	ch
32226823	PMC7050114	The novel coronavirus outbreak in Wuhan, China.	ch
32158961	PMC7050133	First two months of the 2019 Coronavirus Disease (COVID-19) epidemic in China: real-time surveillance and evaluation with a second derivative model.	ch
32175070	PMC7050214	Positive Screening for Wuhan Novel Coronavirus Infection at International Airport: What's the Final Diagnosis for Positive Cases.	ch
32175068	PMC7050215	Exported Wuhan Novel Coronavirus Infection: An Expected Rate with Reference to Main Destination of Chinese Tourist, Thailand.	ch
32175069	PMC7050235	Imported Wuhan Coronavirus Infection: Is there any Correlation with Number of Immigrants from Endemic Area and Period after the First Outbreak?	ch
32052064	PMC7052000	Outbreak of COVID-19 - an urgent need for good science to silence our fears?	ch
32149049	PMC7052559	Fear can be more harmful than the severe acute respiratory syndrome coronavirus 2 in controlling the corona virus disease 2019 epidemic.	ch
32071427	PMC7054296	Virus against virus: a potential treatment for 2019-nCov (SARS-CoV-2) and other RNA viruses.	ch
32020029	PMC7054408	Remdesivir and chloroquine effectively inhibit the recently emerged novel coronavirus (2019-nCoV) in vitro.	ch
32127517	PMC7054527	Transmission routes of 2019-nCoV and controls in dental practice.	ch
32125362	PMC7054855	Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore.	es
32102621	PMC7054935	No credible evidence supporting claims of the laboratory engineering of SARS-CoV-2.	ch
32036774	PMC7054940	Emerging novel coronavirus (2019-nCoV)-current scenario, evolutionary perspective based on genome analysis and recent developments.	ch
32102625	PMC7054964	Detectable 2019-nCoV viral RNA in blood is a strong indicator for the further clinical severity.	ch
32127125	PMC7055035	Authors' response: Plenty of coronaviruses but no SARS-CoV-2.	es
32127123	PMC7055037	Differential diagnosis of illness in patients under investigation for the novel coronavirus (SARS-CoV-2), Italy, February 2020.	ch
32127124	PMC7055038	Early transmission patterns of coronavirus disease 2019 (COVID-19) in travellers from Wuhan to Thailand, January 2020.	ch
32127122	PMC7055040	Letter to the editor: Plenty of coronaviruses but no SARS-CoV-2.	ch
32127126	PMC7055041	Latest assessment on COVID-19 from the European Centre for Disease Prevention and Control (ECDC).	ch
32161728	PMC7056477	New Year and coronavirus.	ch
32096116	PMC7056754	The Risk and Prevention of Novel Coronavirus Pneumonia Infections Among Inpatients in Psychiatric Hospitals.	ch
32129805	PMC7057172	Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient.	ch
32154505	PMC7057189	The coronavirus 2019-nCoV epidemic: Is hindsight 20/20?	ch
32100667	PMC7058650	Passengers' destinations from China: low risk of Novel Coronavirus (2019-nCoV) transmission into Africa and South America.	ch
32091395	PMC7060038	Estimated effectiveness of symptom and risk screening to prevent the spread of COVID-19.	ch
32194995	PMC7060195	The outbreak of SARS-CoV-2 pneumonia calls for viral vaccines.	es
32166128	PMC7061470	The novel coronavirus outbreak: what can be learned from China in public reporting?	ch
32165854	PMC7061485	Coronavirus disease-2019: is fever an adequate screening for the returning travelers?	ch
32215365	PMC7061893	A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.	ch
32194944	PMC7062204	Prediction of the SARS-CoV-2 (2019-nCoV) 3C-like protease (3CL (pro)) structure: virtual screening reveals velpatasvir, ledipasvir, and other drug repurposing candidates.	ch
32152059	PMC7062433	Proposed protocol to keep COVID-19 out of hospitals.	ch
32152361	PMC7062829	Topological dynamics of the 2015 South Korea MERS-CoV spread-on-contact networks.	ch
32181302	PMC7063124	Application of the ARIMA model on the COVID-2019 epidemic dataset.	ch
32190575	PMC7063273	CT imaging of two cases of one family cluster 2019 novel coronavirus (2019-nCoV) pneumonia: inconsistency between clinical symptoms amelioration and imaging sign progression.	ch
32118371	PMC7063555	The third coronavirus epidemic in the third millennium: what's next?	ch
32151274	PMC7063757	Preparing for COVID-19: early experience from an intensive care unit in Singapore.	ch
32160889	PMC7065369	Geographical tracking and mapping of coronavirus disease COVID-19/severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) epidemic and associated events around the world: how 21st century GIS technologies are supporting the global fight against outbr	ch
32159775	PMC7066521	Detection of SARS-CoV-2 in Different Types of Clinical Specimens.	ch
32122250	PMC7067171	Public's early response to the novel coronavirus-infected pneumonia.	ch
31987001	PMC7067204	Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan.	ch
32165386	PMC7067954	Complete Genome Sequence of a 2019 Novel Coronavirus (SARS-CoV-2) Strain Isolated in Nepal.	ch
32156332	PMC7068161	Potential scenarios for the progression of a COVID-19 epidemic in the European Union and the European Economic Area, March 2020.	ch
32156329	PMC7068162	Evaluation of a quantitative RT-PCR assay for the detection of the emerging coronavirus SARS-CoV-2 using a high throughput system.	ch
32156330	PMC7068163	Rapid establishment of laboratory diagnostics for the novel coronavirus SARS-CoV-2 in Bavaria, Germany, February 2020.	ch
32156327	PMC7068164	First cases of coronavirus disease 2019 (COVID-19) in the WHO European Region, 24 January to 21 February 2020.	ch
32156331	PMC7068166	Updated rapid risk assessment from ECDC on the outbreak of COVID-19: increased transmission globally.	ch
32190785	PMC7068636	Transmission potential of the novel coronavirus (COVID-19) onboard the diamond Princess Cruises Ship, 2020.	ch
32160114	PMC7068758	The pandemic of coronavirus: tackling the latest plague.	ch
32160122	PMC7068761	All roads lead to coronavirus.	ch
32169119	PMC7068984	The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak - an update on the status.	pt
32164708	PMC7069035	What further should be done to control COVID-19 outbreaks in addition to cases isolation and contact tracing measures?	ch
32167524	PMC7070509	Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China.	de
32210483	PMC7071545	The Battle Against COVID-19: Where Do We Stand Now?	fr
32092911	PMC7072294	Rigidity of the Outer Shell Predicted by a Protein Intrinsic Disorder Model Sheds Light on the COVID-19 (Wuhan-2019-nCoV) Infectivity.	ch
32152585	PMC7073250	In the fight against the new coronavirus outbreak, we must also struggle with human bias.	ch
31988490	PMC7073251	Outbreak of a novel coronavirus.	ch
32174069	PMC7073313	Report on the Epidemiological Features of Coronavirus Disease 2019 (COVID-19) Outbreak in the Republic of Korea from January 19 to March 2, 2020.	ch
32174068	PMC7073318	Will the Third Wave of Coronavirus Disease 2019 Really Come in Korea?	ch
32194980	PMC7073332	Network-based drug repurposing for novel coronavirus 2019-nCoV/SARS-CoV-2.	ch
32102279	PMC7073579	Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19).	fr
31991628	PMC7073674	The Extent of Transmission of Novel Coronavirus in Wuhan, China, 2020.	ch
32093043	PMC7073711	Risk Assessment of Novel Coronavirus COVID-19 Outbreaks Outside China.	ch
32201554	PMC7073717	COVID-19 R0: Magic number or conundrum?	ch
32054045	PMC7073724	Initial Cluster of Novel Coronavirus (2019-nCoV) Infections in Wuhan, China Is Consistent with Substantial Human-to-Human Transmission.	ch
32054124	PMC7073840	Novel Coronavirus Outbreak in Wuhan, China, 2020: Intense Surveillance Is Vital for Preventing Sustained Transmission in New Locations.	ch
32098019	PMC7073841	Communicating the Risk of Death from Novel Coronavirus Disease (COVID-19).	ch
32098289	PMC7073898	Short-term Forecasts of the COVID-19 Epidemic in Guangdong and Zhejiang, China: February 13-23, 2020.	ch
32079150	PMC7074197	Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data.	ch
32046137	PMC7074281	Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions.	ch
32033064	PMC7074297	The Rate of Underascertainment of Novel Coronavirus (2019-nCoV) Infection: Estimation Using Japanese Passengers Data on Evacuation Flights.	ch
32024089	PMC7074332	Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak.	ch
32201449	PMC7074424	Drug targets for corona virus: A systematic review.	ch
32201439	PMC7074432	Therapeutic options for the treatment of 2019-novel coronavirus: An evidence-based approach.	ch
32093211	PMC7074453	Characteristics of and Public Health Responses to the Coronavirus Disease 2019 Outbreak in China.	de
32075152	PMC7074479	Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases.	ch
32052846	PMC7074654	The reproductive number of COVID-19 is higher compared to SARS coronavirus.	ch
31985790	PMC7074660	Potential for global spread of a novel coronavirus from China.	ch
32190290	PMC7074995	SARS-CoV-2 and COVID-19: The most important research questions.	ch
32205937	PMC7075061	Is A Problem Shared, A Problem Halved? Not Always! The Novel Coronavirus COVID-19 Outbreak.	ch
32132521	PMC7075079	The Effects of Social Support on Sleep Quality of Medical Staff Treating Patients with Coronavirus Disease 2019 (COVID-19) in January and February 2020 in China.	ch
32185370	PMC7075270	Information Typology in Coronavirus (COVID-19) Crisis; a Commentary.	ch
32185369	PMC7075271	Liver and Kidney Injuries in COVID-19 and Their Effects on Drug Therapy; a Letter to Editor.	he
32185368	PMC7075272	A Novel Coronavirus Outbreak from Wuhan City in China, Rapid Need for Emergency Departments Preparedness and Response; a Letter to Editor.	ch
32025790	PMC7075276	Imaging changes in patients with 2019-nCov.	ch
32185371	PMC7075675	Coronavirus Pandemic and Worries during Pregnancy; a Letter to Editor.	ch
32179788	PMC7075884	Ginkgolic acid inhibits fusion of enveloped viruses.	ch
32195311	PMC7075990	From SARS to COVID-19: A previously unknown SARS- related coronavirus (SARS-CoV-2) of pandemic potential infecting humans - Call for a One Health approach.	ch
32178711	PMC7076992	Treatment of COVID-19: old tricks for new challenges.	ch
32178716	PMC7077011	Coronavirus: just imagine....	ch
32098422	PMC7077191	Systematic Comparison of Two Animal-to-Human Transmitted Human Coronaviruses: SARS-CoV-2 and SARS-CoV.	ch
31979013	PMC7077218	Emerging Viruses without Borders: The Wuhan Coronavirus.	ch
31991541	PMC7077245	Return of the Coronavirus: 2019-nCoV.	ch
32050635	PMC7077337	Potential Maternal and Infant Outcomes from (Wuhan) Coronavirus 2019-nCoV Infecting Pregnant Women: Lessons from SARS, MERS, and Other Human Coronavirus Infections.	ch
32023340	PMC7077751	Reporting, Epidemic Growth, and Reproduction Numbers for the 2019 Novel Coronavirus (2019-nCoV) Epidemic.	ch
32194981	PMC7078228	Hydroxychloroquine, a less toxic derivative of chloroquine, is effective in inhibiting SARS-CoV-2 infection in vitro.	ch
32183934	PMC7078824	Post-discharge surveillance and positive virus detection in two medical staff recovered from coronavirus disease 2019 (COVID-19), China, January to February 2020.	ch
32183935	PMC7078825	Retrospective analysis of the possibility of predicting the COVID-19 outbreak from Internet searches and social media data, China, 2020.	ch
32183937	PMC7078827	Updated rapid risk assessment from ECDC on the novel coronavirus disease 2019 (COVID-19) pandemic: increased transmission in the EU/EEA and the UK.	ch
32183930	PMC7078829	Estimating the asymptomatic proportion of coronavirus disease 2019 (COVID-19) cases on board the Diamond Princess cruise ship, Yokohama, Japan, 2020.	ch
32178547	PMC7079301	Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19.	ch
32183864	PMC7079436	Safe patient transport for COVID-19.	ch
32183901	PMC7079521	Epidemiology, causes, clinical manifestation and diagnosis, prevention and control of coronavirus disease (COVID-19) during the early outbreak period: a scoping review.	ch
32087334	PMC7079563	The epidemic of 2019-novel-coronavirus (2019-nCoV) pneumonia and insights for emerging infectious diseases in the future.	ch
32162032	PMC7079823	How to balance acute myocardial infarction and COVID-19: the protocols from Sichuan Provincial People's Hospital.	ch
32103284	PMC7079839	Severe SARS-CoV-2 infections: practical considerations and management strategy for intensivists.	fr
32040667	PMC7079862	Critical care management of adults with community-acquired severe respiratory viral infection.	de
32123989	PMC7079863	The novel coronavirus (SARS-CoV-2) infections in China: prevention, control and challenges.	ch
32125455	PMC7079879	Angiotensin-converting enzyme 2 (ACE2) as a SARS-CoV-2 receptor: molecular mechanisms and potential therapeutic target.	ch
32100062	PMC7079907	Challenges and countermeasures for organ donation during the SARS-CoV-2 epidemic: the experience of Sichuan Provincial People's Hospital.	ch
32060619	PMC7079932	Imaging features of 2019 novel coronavirus pneumonia.	ch
32072300	PMC7079935	How to face the novel coronavirus infection during the 2019-2020 epidemic: the experience of Sichuan Provincial People's Hospital.	ch
32166350	PMC7080004	[Recommendations for critically ill patients with COVID-19].	ch
32166511	PMC7080005	18F-FDG PET/CT and COVID-19.	fr
32123986	PMC7080018	Imaging changes of severe COVID-19 pneumonia in advanced stage.	es
32088847	PMC7080035	(18)F-FDG PET/CT findings of COVID-19: a series of four highly suspected cases.	ch
32077996	PMC7080064	Intensive care during the coronavirus epidemic.	ch
32125453	PMC7080079	Imaging changes in severe COVID-19 pneumonia.	ch
32125452	PMC7080116	Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China.	ch
32107577	PMC7080117	Imaging and clinical features of patients with 2019 novel coronavirus SARS-CoV-2.	ch
32125458	PMC7080134	COVID-19: a novel coronavirus and a novel challenge for critical care.	ch
32123994	PMC7080165	Critical care crisis and some recommendations during the COVID-19 epidemic in China.	ch
32189136	PMC7080931	Lower mortality of COVID-19 by early recognition and intervention: experience from Jiangsu Province.	ch
32210742	PMC7081066	Role of changes in SARS-CoV-2 spike protein in the interaction with the human ACE2 receptor: An in silico analysis.	fr
32210741	PMC7081067	Unrevealing sequence and structural features of novel coronavirus using in silico approaches: The main protease as molecular target.	fr
32176257	PMC7081171	COVID-19 and the Risk to Health Care Workers: A Case Report.	ch
32150748	PMC7081172	The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application.	ch
32163542	PMC7081173	Histopathologic Changes and SARS-CoV-2 Immunostaining in the Lung of a Patient With COVID-19.	ch
32160299	PMC7081175	Coronavirus Disease 2019 (COVID-19): Protecting Hospitals From the Invisible.	ch
32176272	PMC7081176	Estimation of Coronavirus Disease 2019 (COVID-19) Burden and Potential for International Dissemination of Infection From Iran.	ch
32160273	PMC7081177	How Should U.S. Hospitals Prepare for Coronavirus Disease 2019 (COVID-19)?	ch
32188484	PMC7081524	Host susceptibility to severe COVID-19 and establishment of a host risk score: findings of 487 cases outside Wuhan.	ch
32188445	PMC7081539	Coronavirus: the spread of misinformation.	ch
32188482	PMC7081588	COVID-19 infection epidemic: the medical management strategies in Heilongjiang Province, China.	ch
32139372	PMC7081812	What we know so far: COVID-19 current clinical knowledge and research.	ch
32191174	PMC7081861	2019-nCoV: The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus.	ch
31996437	PMC7081895	Receptor Recognition by the Novel Coronavirus from Wuhan: an Analysis Based on Decade-Long Structural Studies of SARS Coronavirus.	ch
32191764	PMC7082074	Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China.	ch
32188753	PMC7082143	COVID-19: Knowns, Unknowns, and Questions.	ch
32174053	PMC7082661	False-Negative Results of Real-Time Reverse-Transcriptase Polymerase Chain Reaction for Severe Acute Respiratory Syndrome Coronavirus 2: Role of Deep-Learning-Based CT Diagnosis and Insights from Two Cases.	ch
32100485	PMC7082662	Chest Radiographic and CT Findings of the 2019 Novel Coronavirus Disease (COVID-19): Analysis of Nine Patients Treated in Korea.	ch
32100486	PMC7082663	2019 Novel Coronavirus (COVID-19) Pneumonia: Serial Computed Tomography Findings.	ch
32191259	PMC7082763	Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State.	ch
32206052	PMC7083240	COVID-19 and smoking: A systematic review of the evidence.	ch
32138266	PMC7084229	Potential Factors Influencing Repeated SARS Outbreaks in China.	ch
32182811	PMC7084373	Reverse Logistics Network Design for Effective Management of Medical Waste in Epidemic Outbreaks: Insights from the Coronavirus Disease 2019 (COVID-19) Outbreak in Wuhan (China).	ch
32143519	PMC7084718	Prediction of Epidemic Spread of the 2019 Novel Coronavirus Driven by Spring Festival Transportation in China: A Population-Based Study.	ch
32155789	PMC7084952	Immediate Psychological Responses and Associated Factors during the Initial Stage of the 2019 Coronavirus Disease (COVID-19) Epidemic among the General Population in China.	ch
32199457	PMC7085188	Responding to the COVID-19 pandemic in complex humanitarian crises.	ch
32232215	PMC7085861	Information Diet in Covid-19 Crisis; a Commentary.	ch
32232214	PMC7085862	Potential Treatments for COVID-19; a Narrative Literature Review.	ch
32232213	PMC7085938	Daily Situation Report on Coronavirus disease (COVID-19) in Iran; March 13, 2020.	fr
32193904	PMC7086085	Drive-Through Screening Center for COVID-19: a Safe and Efficient Screening System against Massive Community Outbreak.	ch
32193905	PMC7086086	First Pediatric Case of Coronavirus Disease 2019 in Korea.	ch
32193906	PMC7086087	Are We Ready for Coronavirus Disease 2019 Arriving at Schools?	ch
32196071	PMC7086377	Knowledge and Perceptions of COVID-19 Among the General Public in the United States and the United Kingdom: A Cross-sectional Online Survey.	ch
32226946	PMC7086482	COVID-19: a novel zoonotic disease caused by a coronavirus from China: what we know and what we don't.	ch
32198615	PMC7087529	The potential added value of FDG PET/CT for COVID-19 pneumonia.	ch
32189010	PMC7087553	Correction to: COVID-19: a novel coronavirus and a novel challenge for critical care.	ch
32189081	PMC7087612	AI-Driven Tools for Coronavirus Outbreak: Need of Active Learning and Cross-Population Train/Test Models on Multitudinal/Multimodal Data.	ch
32180157	PMC7088073	Brain Awareness Week, CoVID-19 infection and Neurological Sciences.	ch
32020374	PMC7088294	The Role of Augmented Intelligence (AI) in Detecting and Preventing the Spread of Novel Coronavirus.	ch
32214514	PMC7088298	[Business cycle highlight: Coronavirus keeps the global economy in suspense].	ch
32048163	PMC7088566	Clinical and biochemical indexes from 2019-nCoV infected patients linked to viral loads and lung injury.	ch
32065348	PMC7088641	Can Chinese Medicine Be Used for Prevention of Corona Virus Disease 2019 (COVID-19)? A Review of Historical Classics, Research Evidence and Current Prevention Programs.	ch
32048160	PMC7088771	Bat origin of a new human coronavirus: there and back again.	ch
32009228	PMC7089049	Evolution of the novel coronavirus from the ongoing Wuhan outbreak and modeling of its spike protein for risk of human transmission.	ch
32119961	PMC7089605	Anti-HCV, nucleotide inhibitors, repurposing against COVID-19.	ch
32211279	PMC7089620	An Ounce of Prevention: Coronavirus (COVID-19) and Mass Gatherings.	ch
32180175	PMC7090434	Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients.	ch
32162212	PMC7090449	Preparing for a COVID-19 pandemic: a review of operating room outbreak response measures in a large tertiary hospital in Singapore.	ch
32180173	PMC7090453	Lidocaine during intubation and extubation in patients with coronavirus disease (COVID-19).	ch
32189218	PMC7090637	The impact of high-flow nasal cannula (HFNC) on coughing distance: implications on its use during the novel coronavirus disease outbreak.	
32166607	PMC7090728	A Review of Coronavirus Disease-2019 (COVID-19).	
32144591	PMC7090746	What we do when a COVID-19 patient needs an operation: operating room preparation and guidance.	
32202646	PMC7090843	Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019.	
32202608	PMC7091374	Ethics Committee Reviews of Applications for Research Studies at 1 Hospital in China During the 2019 Novel Coronavirus Epidemic.	
32052373	PMC7091420	Practical recommendations for critical care and anesthesiology teams caring for novel coronavirus (2019-nCoV) patients.	
32162211	PMC7091470	Chest computed tomography images of early coronavirus disease (COVID-19).	
32004427	PMC7092802	First Case of 2019 Novel Coronavirus in the United States.	
31978945	PMC7092803	A Novel Coronavirus from Patients with Pneumonia in China, 2019.	
32081428	PMC7092824	Structure analysis of the receptor binding of 2019-nCoV.	
32232216	PMC7092921	Incidentally Diagnosed COVID-19 Infection in Trauma Patients; a Clinical Experience.	
32232217	PMC7092922	Risks of Novel Coronavirus Disease (COVID-19) in Pregnancy; a Narrative Review.	
32210236	PMC7093412	Epidemiological data from the COVID-19 outbreak, real-time case information.	
32105680	PMC7093856	Coronavirus Disease 2019 (COVID-19) and Pregnancy: What obstetricians need to know.	
32209118	PMC7093988	Using the spike protein feature to predict infection risk and monitor the evolutionary dynamic of coronavirus.	
